source	target	weight
bakurê	komuneke	5.297681
bakurê	marne	4.297681
bakurê	oisa	5.297681
departmena	komuneke	5.882643
departmena	marne	4.882643
departmena	oisa	5.882643
komuneke	marne	5.882643
komuneke	oisa	6.882643
marne	oisa	5.882643
00	roj	6.882643
00	rojan	6.882643
00	saet	6.882643
00	tu	4.560715
roj	rojan	6.882643
roj	saet	6.882643
roj	tu	4.560715
rojan	saet	6.882643
rojan	tu	4.560715
saet	tu	4.560715
hemoglobînê	nav	5.882643
hemoglobînê	xwîn	6.882643
hemoglobînê	xwîna	6.882643
hemoglobînê	xwînê	6.882643
nav	xwîn	5.882643
nav	xwîna	5.882643
nav	xwînê	5.882643
xwîn	xwîna	6.882643
xwîn	xwînê	6.882643
xwîna	xwînê	6.882643
aquitaine	charente	5.297681
aquitaine	landes	5.297681
aquitaine	nouvelle	5.297681
aquitaine	rojavayê	4.712718
charente	landes	6.882643
charente	nouvelle	5.297681
charente	rojavayê	5.297681
landes	nouvelle	5.297681
landes	rojavayê	5.297681
nouvelle	rojavayê	4.712718
biderengî	birçî	6.882643
biderengî	demeke	6.882643
biderengî	nêz	6.882643
biderengî	şîva	6.882643
birçî	demeke	6.882643
birçî	nêz	6.882643
birçî	şîva	6.882643
demeke	nêz	6.882643
demeke	şîva	6.882643
nêz	şîva	6.882643
herî	mezin	5.882643
herî	mezine	5.882643
herî	mezintir	5.882643
herî	zilma	5.882643
mezin	mezine	5.882643
mezin	mezintir	5.882643
mezin	zilma	5.882643
mezine	mezintir	6.882643
mezine	zilma	6.882643
mezintir	zilma	6.882643
dayîk	muzîkê	6.882643
dayîk	pisîk	6.882643
dayîk	pisîkên	6.882643
dayîk	würzburg	6.882643
muzîkê	pisîk	6.882643
muzîkê	pisîkên	6.882643
muzîkê	würzburg	6.882643
pisîk	pisîkên	6.882643
pisîk	würzburg	6.882643
pisîkên	würzburg	6.882643
ajotiye	bike	6.882643
ajotiye	coupé	6.882643
ajotiye	min	4.075288
ajotiye	otobus	6.882643
bike	coupé	6.882643
bike	min	4.075288
bike	otobus	6.882643
coupé	min	4.075288
coupé	otobus	6.882643
min	otobus	4.075288
dertêm	ez	4.882643
dertêm	herim	6.882643
dertêm	mala	6.882643
dertêm	malê	6.882643
ez	herim	4.882643
ez	mala	4.882643
ez	malê	4.882643
herim	mala	6.882643
herim	malê	6.882643
mala	malê	6.882643
goştê	serdeştê	6.882643
goştê	taştê	6.882643
goştê	tiştê	6.882643
goştê	şaristana	6.882643
serdeştê	taştê	6.882643
serdeştê	tiştê	6.882643
serdeştê	şaristana	6.882643
taştê	tiştê	6.882643
taştê	şaristana	6.882643
tiştê	şaristana	6.882643
birûsk	ewran	6.882643
birûsk	ewrên	6.882643
birûsk	qîjandina	6.882643
birûsk	xort	6.882643
ewran	ewrên	6.882643
ewran	qîjandina	6.882643
ewran	xort	6.882643
ewrên	qîjandina	6.882643
ewrên	xort	6.882643
qîjandina	xort	6.882643
esta	goleke	6.882643
esta	marney	6.882643
esta	norwêcê	6.882643
esta	sinorê	6.882643
goleke	marney	6.882643
goleke	norwêcê	6.882643
goleke	sinorê	6.882643
marney	norwêcê	6.882643
marney	sinorê	6.882643
norwêcê	sinorê	6.882643
html	malpera	5.882643
html	televîzyonê	6.882643
html	tv	5.882643
html	înternetê	6.882643
malpera	televîzyonê	5.882643
malpera	tv	5.882643
malpera	înternetê	5.882643
televîzyonê	tv	5.882643
televîzyonê	înternetê	6.882643
tv	înternetê	5.882643
be	dilê	5.882643
be	hincik	6.882643
be	te	4.075288
be	wê	5.297681
dilê	hincik	5.882643
dilê	te	3.075288
dilê	wê	4.297681
hincik	te	4.075288
hincik	wê	5.297681
te	wê	2.490326
beniya	ermenî	6.882643
beniya	tirkiyeyê	6.882643
beniya	tirkî	5.882643
beniya	zimanê	5.297681
ermenî	tirkiyeyê	6.882643
ermenî	tirkî	5.882643
ermenî	zimanê	5.297681
tirkiyeyê	tirkî	5.882643
tirkiyeyê	zimanê	5.297681
tirkî	zimanê	4.297681
diya	wê	5.297681
diya	zaroka	6.882643
diya	zarokên	5.882643
diya	zewicî	6.882643
wê	zaroka	5.297681
wê	zarokên	4.297681
wê	zewicî	5.297681
zaroka	zarokên	5.882643
zaroka	zewicî	6.882643
zarokên	zewicî	5.882643
seqizê	sêv	6.882643
seqizê	sêva	6.882643
seqizê	sêwasê	6.882643
seqizê	zêwye	6.882643
sêv	sêva	6.882643
sêv	sêwasê	6.882643
sêv	zêwye	6.882643
sêva	sêwasê	6.882643
sêva	zêwye	6.882643
sêwasê	zêwye	6.882643
gul	gîha	6.882643
gul	kulîlk	6.882643
gul	kulîlkan	6.882643
gul	kulîlkên	6.882643
gîha	kulîlk	6.882643
gîha	kulîlkan	6.882643
gîha	kulîlkên	6.882643
kulîlk	kulîlkan	6.882643
kulîlk	kulîlkên	6.882643
kulîlkan	kulîlkên	6.882643
dibim	stockholmê	6.882643
dibim	swêd	6.882643
dibim	swêdê	6.882643
dibim	swêdî	6.882643
stockholmê	swêd	6.882643
stockholmê	swêdê	6.882643
stockholmê	swêdî	6.882643
swêd	swêdê	6.882643
swêd	swêdî	6.882643
swêdê	swêdî	6.882643
39	41	6.882643
39	49	6.882643
39	63	6.882643
39	64	6.882643
41	49	6.882643
41	63	6.882643
41	64	6.882643
49	63	6.882643
49	64	6.882643
63	64	6.882643
centre	indre	6.882643
centre	komunên	4.882643
centre	loireyê	6.882643
centre	val	6.882643
indre	komunên	4.882643
indre	loireyê	6.882643
indre	val	6.882643
komunên	loireyê	4.882643
komunên	val	4.882643
loireyê	val	6.882643
gundekî	semsûrê	5.882643
gundekî	tirkî	4.882643
gundekî	xarpêtê	5.882643
navçeya	semsûrê	4.882643
navçeya	tirkî	3.882643
navçeya	xarpêtê	4.882643
semsûrê	tirkî	5.882643
semsûrê	xarpêtê	6.882643
tirkî	xarpêtê	5.882643
20	40	6.882643
20	bîst	6.882643
20	depê	6.882643
20	lîstik	6.882643
40	bîst	6.882643
40	depê	6.882643
40	lîstik	6.882643
bîst	depê	6.882643
bîst	lîstik	6.882643
depê	lîstik	6.882643
bakteriyan	bakteriyê	6.882643
bakteriyan	bakteriyên	6.882643
bakteriyan	bakterî	6.882643
bakteriyan	coli	6.882643
bakteriyê	bakteriyên	6.882643
bakteriyê	bakterî	6.882643
bakteriyê	coli	6.882643
bakteriyên	bakterî	6.882643
bakteriyên	coli	6.882643
bakterî	coli	6.882643
aştiyê	hemwelatiyê	6.882643
aştiyê	hestiyê	6.882643
aştiyê	mesîhîtiyê	6.882643
aştiyê	yekîtiyê	6.882643
hemwelatiyê	hestiyê	6.882643
hemwelatiyê	mesîhîtiyê	6.882643
hemwelatiyê	yekîtiyê	6.882643
hestiyê	mesîhîtiyê	6.882643
hestiyê	yekîtiyê	6.882643
mesîhîtiyê	yekîtiyê	6.882643
komara	komarê	6.882643
komara	komarên	6.882643
komara	mehabadê	6.882643
komara	sosyalîst	6.882643
komarê	komarên	6.882643
komarê	mehabadê	6.882643
komarê	sosyalîst	6.882643
komarên	mehabadê	6.882643
komarên	sosyalîst	6.882643
mehabadê	sosyalîst	6.882643
mûyê	piranî	6.882643
mûyê	rijênê	6.882643
mûyê	tê	6.882643
mûyê	ziravê	6.882643
piranî	rijênê	6.882643
piranî	tê	6.882643
piranî	ziravê	6.882643
rijênê	tê	6.882643
rijênê	ziravê	6.882643
tê	ziravê	6.882643
berdilkê	hawar	6.882643
berdilkê	raweste	6.882643
berdilkê	xaliqê	6.882643
berdilkê	şekirî	6.882643
hawar	raweste	6.882643
hawar	xaliqê	6.882643
hawar	şekirî	6.882643
raweste	xaliqê	6.882643
raweste	şekirî	6.882643
xaliqê	şekirî	6.882643
paqij	pir	6.882643
paqij	xweş	6.882643
paqij	xweşik	6.882643
paqij	însan	6.882643
pir	xweş	6.882643
pir	xweşik	6.882643
pir	însan	6.882643
xweş	xweşik	6.882643
xweş	însan	6.882643
xweşik	însan	6.882643
cejna	pîroz	6.882643
cejna	pîrozkirin	6.882643
cejna	qurana	6.882643
cejna	roja	6.882643
pîroz	pîrozkirin	6.882643
pîroz	qurana	6.882643
pîroz	roja	6.882643
pîrozkirin	qurana	6.882643
pîrozkirin	roja	6.882643
qurana	roja	6.882643
amerîkan	amerîkî	6.882643
amerîkan	dya	6.882643
amerîkan	lîstikvan	6.882643
amerîkan	lîstikvanek	6.882643
amerîkî	dya	6.882643
amerîkî	lîstikvan	6.882643
amerîkî	lîstikvanek	6.882643
